№п/п,Артикул,Имя,масса/объем,количество,единица измерения,цена,изображение
1,LEVR0093-0030 ,"Альгинатная маска для лица ""Подтягивающая"" ",30г.,2,шт.,230,
2,LEVR0096-0030,"Альгинатная маска для лица ""Тонизирующая""",30г.,2,шт.,230,
3,LEVR0101-0010,"Бальзам для губ ""Медовый""",10 мл,2,шт.,133,
4,LEVR0066-0250,"Гель для душа ""Цитрусовая свежесть""",250 мл,1,шт.,283,
5,LEVR0076-0100,"Двухфазное средство для снятия макияжа ""Роза""",100 мл,3,шт.,495,
6,LEVR0181-0050,"Дезодорант ""Zero""",50 мл,2,шт.,283,
7,LEVR0109-0250,"Шампунь ""Мать-и-мачеха и Хмель""",250мл,1,шт.,318,
8,LEVR0251-0250,"Кондиционер для волос ""Мать-и-мачеха и Хмель""",250 мл,1,шт.,309,
9,LEVR0025-0250,"Маска для волос ""Сибирские травы""",250 мл,1,шт.,495,
10,LEVR0164-0200,"Мицеллярная вода ""Детокс"" для снятия макияжа",200 мл,2,шт.,245,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
